Y,X,Z
-28.9807879,-49.4094376,0.050746
-27.2890568,-50.5790551,0.053318
-7.9532158,-36.2038605,0.05609
-12.082279,-45.7849418,0.067473
-6.7664137,-38.2346334,0.075967
-9.1763416,-40.974357,0.081161
-10.2116184,-37.4202986,0.082445
-15.8106787,-42.2277023,0.0858
-10.9203507,-37.6684915,0.086217
-15.5524669,-55.1606624,0.087878
-18.1690413,-47.9425322,0.088597
-7.5738334,-40.4984204,0.089617
-21.8370085,-46.9032647,0.089664
-10.6924747,-37.4303247,0.090469
-9.4096031,-40.5071832,0.091675
-8.4199975,-37.060314,0.091748
-5.1762524,-40.6644009,0.092481
-12.726852,-60.1266651,0.092863
-9.9095754,-63.0363925,0.094983
-29.3354709,-49.7316729,0.095358
-15.4525075,-47.6068322,0.095566
-7.8793634,-35.4464711,0.096209
-13.0772872,-55.9230401,0.096424
-3.6854001,-40.3520013,0.096558
-5.1890751,-37.3385449,0.097438
-6.4033932,-38.8577212,0.098222
-6.5312688,-49.8556204,0.098415
-5.1259347,-39.7316171,0.100161
-9.6175994,-42.0845555,0.100906
-10.4564231,-40.1870133,0.10144
-20.0243269,-45.5387257,0.10186
-11.3078973,-41.857131,0.102227
-21.7578424,-48.8287126,0.102754
-9.7489711,-36.6573523,0.104198
-21.2620631,-48.4933989,0.104307
-7.9888133,-38.2949696,0.104365
-32.0628544,-52.1457039,0.106588
-8.2815231,-35.969988,0.107244
-7.236434,-35.8974664,0.107784
-14.219994,-42.7750339,0.1081
-26.8979486,-48.6731417,0.108821
-20.7257633,-46.6103735,0.109196
-6.4560466,-37.0906524,0.109248
-3.7278568,-40.9961848,0.110062
-20.894277,-47.5818367,0.110476
-20.9409927,-48.479733,0.110692
-6.2597546,-36.5215547,0.110926
-15.5455652,-54.306183,0.111335
-21.3895127,-51.5748172,0.112199
-25.5493883,-48.5456376,0.112224
-7.0320497,-37.2862311,0.11426
-12.6947556,-43.1806214,0.114272
-27.8120097,-50.3280848,0.114333
-21.4684607,-49.2165492,0.114724
-22.4121615,-47.5651856,0.115285
-21.4192548,-45.9551735,0.115731
-22.0099236,-47.8967066,0.116263
-5.5793436,-36.9248597,0.11627
-7.0780667,-41.4446877,0.116297
-15.5480502,-47.3250152,0.117143
-21.8533395,-47.4760289,0.118415
-9.9521816,-54.9095191,0.118639
-12.5569273,-55.7335474,0.118795
-20.7367119,-48.9034416,0.118979
-7.7615254,-40.2682708,0.120398
-18.4115159,-49.2287801,0.120734
-22.7426441,-48.5648797,0.121638
-10.9191805,-37.075624,0.121754
-27.3982605,-51.2225868,0.122392
-25.6654814,-49.3123148,0.122543
-6.8844735,-38.5563187,0.122767
-20.3307564,-47.7850409,0.12342
-6.3667863,-39.3024851,0.123463
-21.671884,-49.7453682,0.123566
-10.71941,-62.2591339,0.124097
-21.5989631,-48.8137673,0.124126
-11.8740586,-55.512654,0.124555
-24.3984122,-53.5174392,0.124664
-12.5303503,-40.30333,0.12492
-23.1677539,-47.7459075,0.125326
-20.5880034,-47.8648715,0.125536
-8.0669743,-39.1302149,0.125673
-9.4170156,-38.2218872,0.125839
