Y,X,Treecover1985,Treecover1990,Treecover1995,Treecover2000,Treecover2005,Treecover2010,Treecover2015,Treecover2020
-9.9681703,-67.8374863,0.23865,0.28589,0.25556,0.29219,0.31545,0.34245,0.33263,0.30949
-9.7489711,-36.6573523,0.10638,0.12032,0.11022,0.12128,0.122,0.1324,0.09762,0.11428
-9.6014739,-35.7474478,0.12584,0.13999,0.14994,0.17084,0.17208,0.20439,0.14856,0.17301
-9.4151355,-36.6391408,0.11924,0.11987,0.14147,0.14609,0.13534,0.16171,0.13081,0.17245
-3.0461334,-60.0071168,0.26399,0.27085,0.25358,0.314,0.35779,0.37747,0.38212,0.4077
0.0482811,-51.0761657,0.1531,0.1859,0.18811,0.21615,0.29268,0.25413,0.22048,0.29597
0.7032972,-51.404867,0.15563,0.15711,0.14646,0.15226,0.20994,0.20104,0.20209,0.20282
-0.0357653,-51.1711742,0.17125,0.20251,0.2096,0.25033,0.30783,0.30675,0.37706,0.24368
-12.8279728,-38.2555841,0.27296,0.25154,0.20107,0.24799,0.2974,0.30406,0.27528,0.28692
-12.1352106,-38.4222351,0.17505,0.19759,0.2254,0.20312,0.20226,0.19703,0.20815,0.20325
-12.1416137,-44.9908765,0.17657,0.1893,0.19032,0.16641,0.18384,0.19115,0.21451,0.23348
-13.2612496,-43.4053637,0.18764,0.17228,0.22112,0.19394,0.2173,0.23318,0.22055,0.26435
-14.205029,-41.6691618,0.15086,0.13882,0.20434,0.19606,0.17771,0.17816,0.16546,0.14191
-14.0660111,-42.4871819,0.25956,0.27836,0.23041,0.23741,0.2632,0.2358,0.30308,0.32118
-12.7123661,-38.3280413,0.19804,0.20197,0.22428,0.21546,0.22996,0.26181,0.26106,0.2828
-12.6703749,-38.5371195,0.21931,0.28213,0.3467,0.31357,0.34486,0.25598,0.31868,0.36783
-9.1763416,-40.974357,0.09647,0.10954,0.10783,0.07458,0.11355,0.08857,0.1129,0.12124
-12.6669099,-39.1067965,0.19468,0.16531,0.18443,0.19816,0.17754,0.21888,0.20951,0.22602
-12.609399,-38.3058889,0.28688,0.28097,0.25797,0.30055,0.27639,0.30795,0.30417,0.31214
-12.2559523,-38.9498551,0.13707,0.15185,0.14903,0.17922,0.1868,0.19592,0.23222,0.23478
-14.219994,-42.7750339,0.13921,0.14304,0.13711,0.17636,0.12996,0.13841,0.11878,0.12802
-14.8084248,-39.0448509,0.26374,0.23299,0.37718,0.29756,0.28219,0.29786,0.31024,0.3347
-11.3078973,-41.857131,0.12183,0.14222,0.15171,0.14757,0.12597,0.14771,0.14784,0.13506
-12.5303503,-40.30333,0.13515,0.13481,0.13158,0.16414,0.15962,0.18288,0.1753,0.14285
-14.7922937,-39.275604,0.2295,0.2698,0.28148,0.27194,0.30691,0.30131,0.31872,0.29361
-11.1838652,-40.5219783,0.17552,0.16242,0.18157,0.21995,0.26436,0.23768,0.21973,0.29036
-13.8593117,-40.0890322,0.16587,0.18061,0.21297,0.20205,0.18988,0.17892,0.18639,0.18617
-12.082279,-45.7849418,0.08325,0.08194,0.10947,0.1059,0.1043,0.09589,0.07895,0.08262
-12.6947556,-43.1806214,0.15698,0.18553,0.19976,0.16642,0.17566,0.14143,0.12874,0.15791
-9.4170156,-38.2218872,0.11588,0.12711,0.12189,0.16359,0.15802,0.21154,0.20028,0.24378
-9.4096031,-40.5071832,0.11646,0.09998,0.09257,0.11574,0.1344,0.12947,0.11274,0.11409
-9.6175994,-42.0845555,0.11302,0.17203,0.12707,0.10596,0.13826,0.10538,0.12504,0.0858
-10.8345815,-38.5405688,0.14211,0.13052,0.12916,0.14427,0.15914,0.19835,0.21896,0.18462
-12.9152342,-38.4243366,0.24785,0.28015,0.3052,0.32044,0.32438,0.36432,0.36236,0.37546
-13.3971295,-44.1986538,0.18038,0.15299,0.19637,0.1722,0.18791,0.16243,0.17683,0.20459
-12.9698866,-39.2599373,0.17805,0.19667,0.17677,0.16759,0.18095,0.20134,0.18582,0.22137
-12.4350293,-39.2530172,0.21313,0.2085,0.16828,0.18485,0.19769,0.18553,0.25662,0.19509
-10.4564231,-40.1870133,0.12772,0.13582,0.12777,0.14323,0.1262,0.12691,0.10773,0.16823
-14.8685914,-40.8479016,0.13275,0.14344,0.13565,0.1632,0.17555,0.19661,0.19543,0.20574
-5.1259347,-39.7316171,0.06722,0.0659,0.07101,0.07256,0.07407,0.08005,0.09737,0.08308
-4.3559897,-39.3176638,0.15084,0.16031,0.20442,0.19919,0.17914,0.18982,0.17882,0.2087
-4.1293651,-38.2429107,0.18845,0.19582,0.23046,0.20142,0.25175,0.26718,0.31912,0.25738
-5.1762524,-40.6644009,0.11928,0.11971,0.10978,0.12488,0.12295,0.11385,0.12813,0.09546
-7.2440608,-39.4029687,0.08264,0.10651,0.11602,0.0989,0.11765,0.14118,0.12052,0.12892
-3.7945179,-38.5697988,0.17751,0.24391,0.23926,0.26944,0.29085,0.30279,0.33122,0.35844
-4.1047045,-38.4953605,0.21484,0.21474,0.23028,0.24897,0.22961,0.23543,0.24545,0.2786
-6.4033932,-38.8577212,0.09631,0.11181,0.08639,0.10252,0.0935,0.11125,0.10364,0.10979
-6.3667863,-39.3024851,0.10397,0.12195,0.11477,0.13371,0.15068,0.14979,0.12587,0.10938
-3.4923739,-39.5855038,0.20529,0.21674,0.18381,0.18986,0.22897,0.23328,0.28348,0.29869
-7.2435431,-39.3114169,0.08274,0.11965,0.12663,0.14285,0.14458,0.15952,0.12723,0.1312
-5.1460611,-38.0934875,0.15077,0.13906,0.15194,0.18185,0.20174,0.17576,0.16382,0.12601
-4.1787539,-38.4626319,0.21546,0.25843,0.24821,0.23106,0.25625,0.25478,0.25309,0.28299
